title,stars,reviews,price,price_tier,category_name,engagement,KU Status,Bestseller,Editors Pick,Goodreads Choice
From Hive to Honey: Beekeeping for Beginners to Raising a Healthy Honeybee Colony and Producing Delicious Honey,4.7,0,6.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
Sniper Rifles: From the 19th to the 21st Century (Weapon Book 6),4.3,0,18.4,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Planning for Wicked Problems: A Planner's Guide to Land Use Law,4.2,0,22.17,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Card Making Stamping & Papercraft: 50 Fresh New Designs (Card Making & Papercraft Book 1),3.1,0,9.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
"Baby Quilts: Simple, colorful designs for little ones (Threads Selects)",3.8,0,7.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"Gunsmithing the AR-15, Vol. 2",4.6,0,14.99,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"Simply Stunning Woven Quilts: 11 Easy Techniques, Great Results",4.6,0,18.99,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Generative Trance: The experience of creative flow,4.6,0,23.7,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"A Year of Baby Afghans, Book 4",4.7,0,9.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"Growing Berries - How To Grow & Preserve Berries: Strawberries, Raspberries, Blackberries, Blueberries, Gooseberries, Redcurrants,Blackcurrants & Whitecurrants. (Food Preservation)",4.1,0,4.95,Under $5,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
"Papillon dogs. Papillon dog care, costs, feeding, grooming, health and training all included. Papillon dog Complete Owners Manual.",4.4,0,8.97,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Dictionary of Architecture and Construction (Dictionary of Architecture & Construction),4.8,0,48.99,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"A Modern Herbal, Vol. I",4.7,0,9.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Natural Cosmetic Formulation: The Ultimate Guide to Formulating Natural Skincare and Haircare Products for Beginners along with Making Perfume and Decorative Cosmetics (Organic Body Care),4.1,0,2.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
Rag Rug Techniques for Beginners,4.5,0,16.99,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Vern Yip's Vacation at Home: Design Ideas for Creating Your Everyday Getaway,4.6,0,14.99,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Royal Gardens of the World: 21 Celebrated Gardens from the Alhambra to Highgrove and Beyond,4.8,0,3.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
The Coverstitch Technique Manual: The complete guide to sewing with a coverstitch machine,4.8,0,24.65,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Needle Felting - A Complete Course: From Beginner to Advanced with Step-by-Step Instructions,4.7,0,9.95,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
How to Hold Animals,4.7,0,9.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Easy Homemade Dog Treat Recipes: Fun Homemade Dog Treats for the Busy Pet Lover (Dog Training and Dog Care Series Book 2),4.4,0,2.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
Finish and Publish: Write the book you've always wanted to write,4.5,0,4.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Mark Antony & Cleopatra: Cleopatra’s Proxy War to Conquer Rome & Restore the Empire of the Greeks,3.0,0,2.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Unearthing The Secret Garden: The Plants and Places That Inspired Frances Hodgson Burnett,4.8,0,12.99,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Clutter Control: Putting Your Home On A Diet,4.3,0,2.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
Book Folding for Beginners: Step-by-Step Folded Book Instructions and Patterns (Book Folding Patterns and Instruction),4.3,0,8.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
Gardening for Non-Gardeners: The Absolute Beginner Gardening Guide With Tips and Advice for Flowers and Vegetables,4.8,0,4.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
El Manual Definitivo Para Principiantes De Costura (Spanish Edition),4.7,0,5.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
"Mini Goldendoodles. The Ultimate Mini Goldendoodle Dog Manual. Miniature Goldendoodle book for care, costs, feeding, grooming, health and training.",4.3,0,4.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Selah's Sweet Dream (Dream Horse Adventures Book 2),4.8,0,3.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
60 Easy-To-Knit Pattern Stitches: Combine to Create Sampler Afghans,4.6,0,5.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Country Living Simple Country Wisdom: 501 Old-Fashioned Ideas to Simplify Your Life,4.3,0,11.99,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
How Good Riders Get Good: New Edition: Daily Choices that Lead to Success in Any Equestrian Sport,4.7,0,11.49,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Free-Range Knitter: The Yarn Harlot Writes Again,4.6,0,12.34,$10-$15,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
TUNISIAN CROCHET FOR BEGINNERS: Master the art and create nine stunning projects,2.0,0,3.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
The Magical Language of the Heart: Rediscovering Animal Communication,4.9,0,7.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
On the Loom: A Modern Weaver's Guide,4.3,0,13.19,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Crochet For Beginners - Advanced Guide: The Complete Step By Step Guide To Learn Advanced Stitches And Patterns With Illustrations And Tips To Create Your Projects In Complete Autonomy,4.2,0,7.69,$5-$10,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
Tate: Master Watercolour: Painting techniques inspired by influential artists,4.4,0,4.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
RSN Essential Stitch Guides: Bead Embroidery: Large format edition,4.7,0,18.95,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Korean Patchwork Quilting: 37 Modern Bojagi Style Projects,4.5,0,11.99,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Lodge: An Indoorsy Tour of America’s National Parks,4.8,0,22.49,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Disney Amigurumi Ideas: Best Cute Crochet Disney Patterns: Disney Amazing Crochet Projects,2.3,0,2.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,Yes,No,No
A Winter's Dream: A heart-warming and feel-good cosy read for Christmas,4.5,0,2.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Crissy and Her Friends: A Guide for Collectors,5.0,0,12.99,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Charcoal: Techiques and Tutorials for the Complere Beginner (Art Techniques),4.5,0,9.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Homicide on All Hallows' Eve: A Cozy Fall Murder Mystery (Claire Andersen Murder for All Seasons Cozy Mystery Series Book 4),4.4,0,3.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
"The Art of Liberty Training for Horses: Attain New Levels of Leadership, Unity, Feel, Engagement, and Purpose in All That You Do with Your Horse",4.7,0,17.49,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"Lavender, Parsley, Peppermint, and Sage: Herbal Solutions for Every Household",4.6,0,11.99,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"Gardening: Returning to the soil, returning to bring back the life and vitality of the earth once again",5.0,0,8.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
Surviving Henry: Adventures in Loving a Canine Catastrophe,4.6,0,8.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Knitting Around the World: A Multistranded History of a Time-Honored Tradition,4.5,0,16.99,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"Survival Skills of the Native Americans: Hunting, Trapping, Woodwork, and More",4.5,0,11.99,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"Your Body, Your Style: Simple Tips on Dressing to Flatter Your Body Type",4.0,0,9.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Our Favorite Crochet Stitches,4.7,0,9.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
How to Access Jesus in the Heavenly Realm - Manual: Heaven is real and FUN,4.8,0,7.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Learn the Art of Crochet in Just Three Days: The Ultimate Illustrated Guide to Crochet for Beginners,4.1,0,4.55,Under $5,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"Homemade Shampoo Soaps: Crafting Cold Process Bars that Cleanse, Condition & Style Hair",4.5,0,3.46,Under $5,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
Mini Weapons of Mass Destruction: Build and Master Ninja Weapons,4.7,0,10.99,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Attack Aircraft of the U. S. Navy and Marine Corps,4.8,0,14.99,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"A Modern Herbal, Vol. II",4.7,0,9.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Adult Dog Training Through Positive Reinforcement: Learn the Essential Skills Needed to Shape an Obedient and Well-Behaved Dog,4.9,0,7.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"Simple Geometric Quilting: Modern, Minimalist Designs for Throws, Pillows, Wall Decor and More",4.7,0,9.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Knotmonsters: Biology edition: 20 Amigurumi Crochet Patterns,4.9,0,5.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,Yes,No,No
"Return of the Old Fashioned Housewife: Advice on homemaking, urban homesteading, and a simpler life",4.1,0,3.49,Under $5,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
"31 Days To A Clutter Free Life: One Month to Clear Your Home, Mind & Schedule",4.1,0,7.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
The Complete Virtual Guide to Pricing Your Morgan Silver Dollars (1878-1921),4.1,0,9.95,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
The Beginner's Guide to Wheel Throwing: A Complete Course for the Potter's Wheel (Essential Ceramics Skills),4.7,0,17.95,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"Equine Lameness for the Layman: Tools for Prompt Recognition, Accurate Assessment, and Proactive Management",4.8,0,17.49,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
How to Weave a Navajo Rug and Other Lessons from Spider Woman,4.7,0,19.99,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Abiotic Disorders of Landscape Plants: A Diagnostic Guide,4.7,0,19.99,Over $15,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
Tudor Costume and Fashion (Dover Fashion and Costumes),4.6,0,34.95,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"The Essential Dog Owner's Manual for CCL Injury: What to Do Before, During & After Surgery",4.5,0,9.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Native Plants of the Midwest: A Comprehensive Guide to the Best 500 Species for the Garden,4.7,0,32.99,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Bead Jewelry & Wire Wrapping for Beginners: A Complete Timeless Guide of How to Create Binding Pieces of Jewelry (Including The Top Easy To Follow Projects to Get You Started),3.8,0,2.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
"Traditional Wooden Handplanes: How to Restore, Modify & Use Antique Planes",4.6,0,9.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"Castor Oil: How To Grow Longer Hair, Get Rid Of Scars, Remove Wrinkles, And Other Health And Beauty Recipes (Homemade Body Care Book 4)",4.2,0,2.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
Common Threads: Delivering Hope and Meaning Through Sewing Machines,5.0,0,9.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Foster and Forest (Angel Paws),4.3,0,0.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
Elevate the Everyday: actions and ideas to enhance the experience of daily life (Elevated Living Book 1),4.2,0,7.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
‫الحيوان (عيون النثر العربي القديم)‬ (Arabic Edition),3.2,0,2.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
The Scentual Garden: Exploring the World of Botanical Fragrance,4.8,0,9.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
The Flower Chef: A Modern Guide to Do-It-Yourself Floral Arrangements,4.6,0,9.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Ganja and The Guardsman: A Veterans guide on Indoor Cannabis Cultivation,5.0,0,9.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
"Advanced Crochet Stitches & Patterns: How to Crochet More Advanced Stitches & Make Cool, New Patterns with Easy to Follow Instructions with Images & Illustrations",4.2,0,4.75,Under $5,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
Prefabulous for Everyone,4.8,0,20.99,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Hypertufa Containers: Creating and Planting an Alpine Trough Garden,4.7,0,2.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"Black & Decker The Complete Guide to Garages 2nd Edition: Includes: Building a New Garage, Repairing & Replacing Doors & Windows, Improving Storage, Maintaining ... Plans (Black & Decker Complete Guide)",4.3,0,11.99,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"The Pocket Guide to Outdoor Knots: A Step-By-Step Guide to the Most Important Knots for Fishermen, Boaters, Campers, and Climbers",4.5,0,9.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Rustic Buildings and Barns in Watercolour,4.7,0,18.95,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"The Complete Guide to Poodles: Standard, Miniature, or Toy - Learn Everything You Need to Know to Successfully Raise Your Poodle From Puppy to Old Age",4.4,0,9.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Make Your Own Mosaic Projects: Ancient Techniques to Contemporary Art,4.8,0,9.49,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
CREWEL EMBROIDERY: A PRACTICAL GUIDE FOR BEGINNERS,1.0,0,5.0,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
The German Shepherd Today,4.5,0,18.99,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Candle Making Business: How to Launch a Thriving Six-Figure Candle Business from Home,4.7,0,2.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
"The Foxfire Book of Simple Living: Celebrating Fifty Years of Listenin', Laughin', and Learnin' (Foxfire Series)",4.8,0,9.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
50 Fabulous Knit Aran Stitches,4.7,0,9.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"Dressage for the Not-So-Perfect Horse: Riding Through the Levels on the Peculiar, Opinionated, Complicated Mounts We All Love",4.7,0,23.99,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
The Best of Jane Austen Knits: 27 Regency-Inspired Designs,4.6,0,7.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
Learn French Beading: Beginner Course: Technique Reference and Practice Flower Patterns,4.7,0,14.99,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"Ceramic, Art and Civilisation: Art and Civilization",4.7,0,31.15,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Socks from the Toe Up,4.5,0,12.99,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Lace Knitting Stitches: Beginner's Guide and Lace Knitting Stitches: Lace Knitting Stitch Patterns for Beginners,2.0,0,2.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
Creating a Forest Garden: Working with Nature to Grow Edible Crops,4.7,0,24.48,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Wild Creations: Inspiring Projects to Create plus Plant Care Tips & Styling Ideas for Your Own Wild Interior,4.9,0,13.17,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Slow Fashion: Aesthetics Meets Ethics,4.4,0,19.99,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"French Chic Wherever You Are: Petite lessons in French diet, staying slim, beauty, Parisian style, charm, elegance & mystique to embrace your inner Frenchness anywhere in the world",4.2,0,3.53,Under $5,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
Cuddle Cocoons for Infants (Annie's Attic: Crochet),4.6,0,5.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
The Eco-Friendly Cricut Book: From Idea to I Did-It with my Zero Waste Lifestyle,4.5,0,3.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
Murdered by Success: A Liz Lucas Cozy Mystery,4.6,0,4.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
Going Home,4.7,0,7.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Quail Farming For Beginners: The Ultimate Comprehensive Guide,4.3,0,2.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
Becoming a Gardener: What Reading and Digging Taught Me About Living,4.6,0,21.99,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Ukiyo-e: The Art of the Japanese Print,4.8,0,19.22,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Make It Right: Inside Home Renovation with Canada's Most Trusted Contractor,4.6,0,11.99,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"Windcliff: A Story of People, Plants, and Gardens",4.7,0,4.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Keep Calm . . . It's Just Real Estate: Your No-Stress Guide to Buying a Home,4.8,0,10.99,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"Wood Finishing 101, Revised Edition",4.7,0,9.49,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Harry Potter: Crafting Wizardry: The Official Harry Potter Craft Book,4.8,0,12.99,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Watercolour for the Absolute Beginner: The Society for All Artists (Absolute Beginner Art),4.6,0,18.95,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Field Guide to Trees of Southern Africa: An African Perspective (Field Guide To... (Struik Publishers)),4.7,0,12.99,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Wabi-Sabi Welcome: Learning to Embrace the Imperfect and Entertain with Thoughtfulness and Ease,4.6,0,14.99,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
The Horse Agility Handbook-Ned Edition: A Step-By-Step Introduction to the Sport,4.5,0,11.99,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Stylish Succulents to Crochet: 15 colourful cactuses and other pot plants to make for your home,4.7,0,11.35,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"Remodelista: The Low-Impact Home: A Sourcebook for Stylish, Eco-Conscious Living",4.1,0,18.99,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Big Catch: An Avery Barks Dog Mystery (Avery Barks Cozy Dog Mysteries Book 7),4.2,0,1.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
"Interweave Presents Classic Crochet Shawls: 20 Free-Spirited Designs Featuring Lace, Color and More",4.3,0,11.99,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"Homemade Contrivances and How to Make Them: 1001 Labor-Saving Devices for Farm, Garden, Dairy, and Workshop",4.5,0,10.99,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Weeds of North America,4.3,0,25.75,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Amish Knit Lit Circle: Smicksburg Tales 3,4.7,0,4.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
Creative Watercolor: A Step-by-Step Guide for Beginners (Art for Modern Makers),4.6,0,12.34,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Mini Weapons of Mass Destruction: Make mayhem from your stationery with 35 models to build yourself,4.6,0,3.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
The Flower Farmer's Year: How to grow cut flowers for pleasure and profit,4.7,0,20.0,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"Cutting Machine Crafts with Your Cricut, Sizzix, or Silhouette: Die Cutting Machine Projects to Make with 60 SVG Files",4.4,0,2.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
A Difficult Par: Robert Trent Jones Sr. and the Making of Modern Golf,4.5,0,4.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Radios That Work For Free II,4.5,0,9.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"Norwegian Knits with a Twist: Socks, Sweaters, Mittens, Hats, Pillows, Blankets, and a Whole Lot More",4.5,0,12.99,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Trees of Texas Field Guide (Tree Identification Guides),4.9,0,9.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Knitting: 25 Chic and Easy Patterns (Reference to Go),4.1,0,2.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Crochet for Beginners: The Comprehensive Guide to Mastering the Art of Crocheting | Learn Essential Stitches and Techniques while Creating Beautiful Projects,4.9,0,9.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
Crochet Saved My Life,4.2,0,4.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
Essex Class Aircraft Carriers of the Second World War (ShipCraft Book 12),4.5,0,11.99,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Red House: Being a Mostly Accurate Account of New England's Oldest Continuously Lived-in Ho use,4.4,0,4.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"One Hundred Dogs and Counting: One Woman, Ten Thousand Miles, and A Journey into the Heart of Shelters and Rescues",4.8,0,11.99,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
The Boy Who Talked to Dogs: A Memoir,4.2,0,14.99,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"The Seed Saving Bible: Master the Art of Harvesting, Preserving, and Planting a Bountiful Seed Collection Unlock the Secrets to Year-Round Freshness and Sustainable Gardening",4.6,0,9.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
Living off the Country: How to Stay Alive in the Woods (Stackpole Classics),4.8,0,16.1,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
The Watercolour Sourcebook: 60 inspiring pictures to transfer and paint with full-size outlines (What to Paint),4.5,0,19.47,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Tapping Into Water Low Tech Well Drilling Techniques and Tools,4.4,0,10.95,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Soap Queen Cold Process Soap,4.4,0,2.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
"Creativity Through Nature: Foraged, Recycled and Natural Mixed-Media Art",4.5,0,16.99,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Diary Of A Horse Mad Girl: Book 2 - Pony Club Adventures - A Horse Book For Girls aged 9 - 12,4.5,0,2.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
Kawaii Cross Stitch 80 cute simple patterns: Easy Embroidery Patterns (Counted Cross Stitch Book 1),4.4,0,4.5,Under $5,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
"The Complete Guide to the Great Pyrenees: Selecting, Training, Feeding, Loving, and Raising your Great Pyrenees Successfully from Puppy to Old Age",4.3,0,9.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"The Complete Sashiko Tutorials For Beginners to The Expert: A Detailed Step by Step Guide to Stitch incredible Sashiko Petterns, Projects and Resources.",3.9,0,4.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
The Ultimate Guide to Home Butchering: How to Prepare Any Animal or Bird for the Table or Freezer (The Ultimate Guides),4.6,0,10.99,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"Extreme Bricks: Spectacular, Record-Breaking, and Astounding LEGO Projects from around the World",4.3,0,14.99,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
Fighters Under Construction in World War Two: Rare Photographs from Wartime Archives (Images of War),4.4,0,7.99,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
QUICK AND EASY KNITTED DISHCLOTHS: BEGINNER TO INTERMEDIATE PATTERNS CREATED IN AS LITTLE AS ONE HOUR!,4.4,0,3.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
Prepared to Dye: Dyeing Techniques for Fiber Artists,4.5,0,31.14,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
QCAD for technical drawing: Free and open source alternative to AutoCAD (Imperial Units - Inches and Feet),5.0,0,9.9,$5-$10,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
The Crafty Gardener: Inspired Ideas and DIY Crafts From Your Own Backyard,4.3,0,13.77,$10-$15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
"This Long Thread: Women of Color on Craft, Community, and Connection",4.8,0,18.99,Over $15,"Crafts, Hobbies & Home",No Reviews,Paid,No,No,No
How To Live In A Small Car: A Do-It-Yourself Guide To Converting And Dwelling In Your Vehicle,4.5,0,2.99,Under $5,"Crafts, Hobbies & Home",No Reviews,Kindle Unlimited,No,No,No
